[daemon] 日志文件: G:\MicroPython_Claude_Assistant\scripts\sim_device\logs\daemon.log
[daemon] listening on 127.0.0.1:57320  stub=False  tcp_device=True
[tcp-device] listening on 127.0.0.1:57321
[req v2] session='comp-0003-0000-0000-0000-000000000003' kind='stop'
[req v2] session='comp-0004-0000-0000-0000-000000000004' kind='stop'
[req v2] session='comp-0005-0000-0000-0000-000000000005' kind='stop'
[session] 'comp-0006-0000-0000-0000-000000000006' → display_name='proj6'
[req v2] session='comp-0006-0000-0000-0000-000000000006' kind='user_prompt'
[session] 'comp-0007-0000-0000-0000-000000000007' → display_name='proj7'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='user_prompt'
[session] 'comp-0008-0000-0000-0000-000000000008' → display_name='proj8'
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='user_prompt'
[session] 'comp-0009-0000-0000-0000-000000000009' → display_name='proj9'
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='user_prompt'
[req v2] session='comp-0010-0000-0000-0000-000000000010' kind='user_prompt'
[session] 'comp-0003-0000-0000-0000-000000000003' → display_name='proj3'
[req v2] session='comp-0003-0000-0000-0000-000000000003' kind='user_prompt'
[session] 'comp-0001-0000-0000-0000-000000000001' → display_name='proj1'
[req v2] session='comp-0001-0000-0000-0000-000000000001' kind='stop'
[session] 'comp-0011-0000-0000-0000-000000000011' → display_name='proj11'
[req v2] session='comp-0011-0000-0000-0000-000000000011' kind='user_prompt'
[req v2] session='comp-0012-0000-0000-0000-000000000012' kind='user_prompt'
[req v2] session='comp-0013-0000-0000-0000-000000000013' kind='user_prompt'
[req v2] session='comp-0014-0000-0000-0000-000000000014' kind='user_prompt'
[req v2] session='comp-0015-0000-0000-0000-000000000015' kind='user_prompt'
[session] 'comp-0001-0000-0000-0000-000000000001' → display_name='proj1'
[req v2] session='comp-0001-0000-0000-0000-000000000001' kind='user_prompt'
[session] 'comp-0002-0000-0000-0000-000000000002' → display_name='proj2'
[req v2] session='comp-0002-0000-0000-0000-000000000002' kind='stop'
[session] 'comp-0004-0000-0000-0000-000000000004' → display_name='proj4'
[req v2] session='comp-0004-0000-0000-0000-000000000004' kind='stop'
[session] 'comp-0005-0000-0000-0000-000000000005' → display_name='proj5'
[req v2] session='comp-0005-0000-0000-0000-000000000005' kind='stop'
[req v2] session='comp-0006-0000-0000-0000-000000000006' kind='stop'
[req v2] session='comp-0011-0000-0000-0000-000000000011' kind='stop'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='user_prompt'
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='user_prompt'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='tool_start'
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='tool_start'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='notification'
[approval] session='comp-0007-0000-0000-0000-000000000007' permission_prompt, waiting=1
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='notification'
[approval] session='comp-0008-0000-0000-0000-000000000008' permission_prompt, waiting=1
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='user_prompt'
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='tool_start'
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='tool_error'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='stop'
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='stop'
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='task_error'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_done'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_start'
[req v2] session='comp-0001-0000-0000-0000-000000000001' kind='user_prompt'
[session] 'comp-0002-0000-0000-0000-000000000002' → display_name='proj2'
[req v2] session='comp-0002-0000-0000-0000-000000000002' kind='user_prompt'
[req v2] session='comp-0003-0000-0000-0000-000000000003' kind='user_prompt'
[session] 'comp-0004-0000-0000-0000-000000000004' → display_name='proj4'
[req v2] session='comp-0004-0000-0000-0000-000000000004' kind='user_prompt'
[session] 'comp-0005-0000-0000-0000-000000000005' → display_name='proj5'
[req v2] session='comp-0005-0000-0000-0000-000000000005' kind='user_prompt'
[req v2] session='comp-0001-0000-0000-0000-000000000001' kind='tool_start'
[req v2] session='comp-0002-0000-0000-0000-000000000002' kind='tool_start'
[req v2] session='comp-0003-0000-0000-0000-000000000003' kind='tool_start'
[req v2] session='comp-0004-0000-0000-0000-000000000004' kind='tool_start'
[req v2] session='comp-0005-0000-0000-0000-000000000005' kind='tool_start'
[req v2] session='comp-0001-0000-0000-0000-000000000001' kind='tool_done'
[req v2] session='comp-0002-0000-0000-0000-000000000002' kind='tool_done'
[req v2] session='comp-0003-0000-0000-0000-000000000003' kind='tool_done'
[req v2] session='comp-0004-0000-0000-0000-000000000004' kind='tool_done'
[req v2] session='comp-0005-0000-0000-0000-000000000005' kind='tool_done'
[req v2] session='comp-0001-0000-0000-0000-000000000001' kind='stop'
[req v2] session='comp-0002-0000-0000-0000-000000000002' kind='stop'
[req v2] session='comp-0003-0000-0000-0000-000000000003' kind='stop'
[req v2] session='comp-0004-0000-0000-0000-000000000004' kind='stop'
[req v2] session='comp-0005-0000-0000-0000-000000000005' kind='stop'
[session] 'comp-0006-0000-0000-0000-000000000006' → display_name='proj6'
[req v2] session='comp-0006-0000-0000-0000-000000000006' kind='user_prompt'
[session] 'comp-0007-0000-0000-0000-000000000007' → display_name='proj7'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='user_prompt'
[session] 'comp-0008-0000-0000-0000-000000000008' → display_name='proj8'
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='user_prompt'
[session] 'comp-0009-0000-0000-0000-000000000009' → display_name='proj9'
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='user_prompt'
[req v2] session='comp-0010-0000-0000-0000-000000000010' kind='user_prompt'
[session] 'comp-0003-0000-0000-0000-000000000003' → display_name='proj3'
[req v2] session='comp-0003-0000-0000-0000-000000000003' kind='user_prompt'
[session] 'comp-0001-0000-0000-0000-000000000001' → display_name='proj1'
[req v2] session='comp-0001-0000-0000-0000-000000000001' kind='stop'
[session] 'comp-0011-0000-0000-0000-000000000011' → display_name='proj11'
[req v2] session='comp-0011-0000-0000-0000-000000000011' kind='user_prompt'
[req v2] session='comp-0012-0000-0000-0000-000000000012' kind='user_prompt'
[req v2] session='comp-0013-0000-0000-0000-000000000013' kind='user_prompt'
[req v2] session='comp-0014-0000-0000-0000-000000000014' kind='user_prompt'
[req v2] session='comp-0015-0000-0000-0000-000000000015' kind='user_prompt'
[session] 'comp-0001-0000-0000-0000-000000000001' → display_name='proj1'
[req v2] session='comp-0001-0000-0000-0000-000000000001' kind='user_prompt'
[session] 'comp-0002-0000-0000-0000-000000000002' → display_name='proj2'
[req v2] session='comp-0002-0000-0000-0000-000000000002' kind='stop'
[session] 'comp-0004-0000-0000-0000-000000000004' → display_name='proj4'
[req v2] session='comp-0004-0000-0000-0000-000000000004' kind='stop'
[session] 'comp-0005-0000-0000-0000-000000000005' → display_name='proj5'
[req v2] session='comp-0005-0000-0000-0000-000000000005' kind='stop'
[req v2] session='comp-0006-0000-0000-0000-000000000006' kind='stop'
[req v2] session='comp-0011-0000-0000-0000-000000000011' kind='stop'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='user_prompt'
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='user_prompt'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='tool_start'
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='tool_start'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='notification'
[approval] session='comp-0007-0000-0000-0000-000000000007' permission_prompt, waiting=1
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='notification'
[approval] session='comp-0008-0000-0000-0000-000000000008' permission_prompt, waiting=1
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='user_prompt'
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='tool_start'
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='tool_error'
[req v2] session='comp-0007-0000-0000-0000-000000000007' kind='stop'
[req v2] session='comp-0008-0000-0000-0000-000000000008' kind='stop'
[req v2] session='comp-0009-0000-0000-0000-000000000009' kind='task_error'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_done'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_start'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_done'
[session] '5bac3fe9-f517-4be2-8d45-5158b0ee5763' → display_name='MicroPython_'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_start'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_done'
[session] '5bac3fe9-f517-4be2-8d45-5158b0ee5763' → display_name='MicroPython_'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_start'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_done'
[session] '5bac3fe9-f517-4be2-8d45-5158b0ee5763' → display_name='MicroPython_'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='stop'
[session] '5bac3fe9-f517-4be2-8d45-5158b0ee5763' → display_name='MicroPython_'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='notification'
[idle] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' idle_prompt ignored
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='user_prompt'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='stop'
[session] '5bac3fe9-f517-4be2-8d45-5158b0ee5763' → display_name='MicroPython_'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='notification'
[idle] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' idle_prompt ignored
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='user_prompt'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='user_prompt'
[req v2] session='5bac3fe9-f517-4be2-8d45-5158b0ee5763' kind='tool_start'
